"","x"
"1",572.777470569105
"2",561.752441642277
"3",564.068378677507
"4",560.433431490515
"5",566.831303197832
"6",556.71114399729
"7",546.927863460705
"8",583.866771780488
"9",564.001720368564
"10",565.982122514906
"11",524.060878723577
"12",557.383588501355
"13",579.876080357724
"14",557.618426737127
"15",579.025055382114
"16",565.15113006504
"17",588.902388785908
"18",576.898415314363
"19",565.195096688347
"20",553.973156566396
"21",547.295680073171
"22",537.975688542005
"23",559.344524463414
"24",551.943914653117
"25",521.234528853659
"26",566.328492474255
"27",577.514955859078
"28",604.668721647696
"29",594.211865289973
"30",603.208283200542
"31",597.584216663956
"32",537.0889969729
"33",560.369087913279
"34",570.116883536585
"35",607.929717398374
